coverage_wave,ticker,company,exchange,country,region,segment_id,segment,why_core,first_research_question,first_model_driver,leading_indicators,recommended_output,source_pack_start
Wave 2 - Manufacturing and capex picks/shovels,SNPS,Synopsys,NASDAQ,United States,North America,eda_ip,EDA / IP / Design Enablement,Best read-through for design complexity and advanced-node activity.,"Ansys integration, AI-assisted EDA monetization, China/export controls","Seat growth, token/cloud usage, maintenance renewal, IP royalties, hardware emulation backlog, design services NRE, China/export-control exposure.","Advanced-node tape-outs, hyperscaler ASIC programs, foundry PDK releases, RPO/remaining performance obligations, emulation lead times, hiring in chip design teams.","WFE/materials/test wallet-share map, order/backlog tracker and customer capex bridge.",IR filings; last 8 quarters earnings materials; transcript/Q&A; segment/geography split; CIQ market data refresh; latest sell-side debate notes if available
Wave 2 - Manufacturing and capex picks/shovels,CDNS,Cadence Design Systems,NASDAQ,United States,North America,eda_ip,EDA / IP / Design Enablement,Core proxy for design starts and chip complexity.,"AI/EDA pricing, emulation cycle, hyperscaler custom silicon exposure","Seat growth, token/cloud usage, maintenance renewal, IP royalties, hardware emulation backlog, design services NRE, China/export-control exposure.","Advanced-node tape-outs, hyperscaler ASIC programs, foundry PDK releases, RPO/remaining performance obligations, emulation lead times, hiring in chip design teams.","WFE/materials/test wallet-share map, order/backlog tracker and customer capex bridge.",IR filings; last 8 quarters earnings materials; transcript/Q&A; segment/geography split; CIQ market data refresh; latest sell-side debate notes if available
Wave 2 - Manufacturing and capex picks/shovels,ARM,Arm Holdings,NASDAQ,United Kingdom,Europe,eda_ip,EDA / IP / Design Enablement,Sits at the CPU/IP layer for almost every non-x86 ecosystem.,"Datacenter share, royalty rate expansion, RISC-V competition, China structure","Seat growth, token/cloud usage, maintenance renewal, IP royalties, hardware emulation backlog, design services NRE, China/export-control exposure.","Advanced-node tape-outs, hyperscaler ASIC programs, foundry PDK releases, RPO/remaining performance obligations, emulation lead times, hiring in chip design teams.","WFE/materials/test wallet-share map, order/backlog tracker and customer capex bridge.",IR filings; last 8 quarters earnings materials; transcript/Q&A; segment/geography split; CIQ market data refresh; latest sell-side debate notes if available
Wave 2 - Manufacturing and capex picks/shovels,RMBS,Rambus,NASDAQ,United States,North America,eda_ip,EDA / IP / Design Enablement,Useful read-through for memory bandwidth value capture.,DDR/HBM interface adoption and royalty durability,"Seat growth, token/cloud usage, maintenance renewal, IP royalties, hardware emulation backlog, design services NRE, China/export-control exposure.","Advanced-node tape-outs, hyperscaler ASIC programs, foundry PDK releases, RPO/remaining performance obligations, emulation lead times, hiring in chip design teams.","WFE/materials/test wallet-share map, order/backlog tracker and customer capex bridge.",IR filings; last 8 quarters earnings materials; transcript/Q&A; segment/geography split; CIQ market data refresh; latest sell-side debate notes if available
Wave 2 - Manufacturing and capex picks/shovels,ALCHIP,Alchip Technologies,TWSE,Taiwan,Asia,eda_ip,EDA / IP / Design Enablement,Key public proxy for outsourced AI ASIC design demand.,"Customer concentration, TSMC advanced-node access, AI ASIC pipeline","Seat growth, token/cloud usage, maintenance renewal, IP royalties, hardware emulation backlog, design services NRE, China/export-control exposure.","Advanced-node tape-outs, hyperscaler ASIC programs, foundry PDK releases, RPO/remaining performance obligations, emulation lead times, hiring in chip design teams.","WFE/materials/test wallet-share map, order/backlog tracker and customer capex bridge.",IR filings; last 8 quarters earnings materials; transcript/Q&A; segment/geography split; CIQ market data refresh; latest sell-side debate notes if available
Wave 2 - Manufacturing and capex picks/shovels,3443.TW,Global Unichip,TWSE,Taiwan,Asia,eda_ip,EDA / IP / Design Enablement,A clean Taiwan ASIC-service read-through.,"TSMC ecosystem leverage, AI ASIC wins, customer concentration","Seat growth, token/cloud usage, maintenance renewal, IP royalties, hardware emulation backlog, design services NRE, China/export-control exposure.","Advanced-node tape-outs, hyperscaler ASIC programs, foundry PDK releases, RPO/remaining performance obligations, emulation lead times, hiring in chip design teams.","WFE/materials/test wallet-share map, order/backlog tracker and customer capex bridge.",IR filings; last 8 quarters earnings materials; transcript/Q&A; segment/geography split; CIQ market data refresh; latest sell-side debate notes if available
Wave 2 - Manufacturing and capex picks/shovels,688008.SS,Montage Technology,SSE STAR,China,Asia,eda_ip,EDA / IP / Design Enablement,Core China proxy for memory-interface value.,"DDR5/CXL cycle, Intel platform timing, China server demand","Seat growth, token/cloud usage, maintenance renewal, IP royalties, hardware emulation backlog, design services NRE, China/export-control exposure.","Advanced-node tape-outs, hyperscaler ASIC programs, foundry PDK releases, RPO/remaining performance obligations, emulation lead times, hiring in chip design teams.","WFE/materials/test wallet-share map, order/backlog tracker and customer capex bridge.",IR filings; last 8 quarters earnings materials; transcript/Q&A; segment/geography split; CIQ market data refresh; latest sell-side debate notes if available
Wave 3 - Cyclical recovery and edge/auto/device beta,6415.TW,Silergy,TWSE,Taiwan,Asia,analog_power,Analog / Power / Mixed Signal,Taiwan analog leader often compared with China PMIC names.,"Inventory cycle, China consumer recovery, data center power attach","Industrial/auto inventory, channel sell-through, book-to-bill, utilization, pricing, SiC capacity, AI server power content.","Distributor inventory days, auto production schedules, industrial PMI, EV inverter demand, data-center power density, lead times.","Inventory-cycle dashboard, auto/industrial recovery tracker and handset/consumer sell-through bridge.",IR filings; last 8 quarters earnings materials; transcript/Q&A; segment/geography split; CIQ market data refresh; latest sell-side debate notes if available
Wave 1 - AI infrastructure spine,NVDA,NVIDIA,NASDAQ,United States,North America,fabless_compute,Compute / AI / Logic Chips,Anchor company for AI semiconductor demand and pricing.,"AI capex durability, inference mix, custom ASIC competition, supply allocation","Datacenter revenue, accelerator ASP, HBM/CoWoS allocation, software/networking attach, cloud capex, product cadence, gross margin by platform.","Hyperscaler capex revisions, AI server lead times, HBM supply contracts, TSMC advanced-node mix, ODM backlog, accelerator benchmark adoption.","AI value-chain source packs, rack-level BOM bridge, bottleneck monitor and first-pass model drivers.",IR filings; last 8 quarters earnings materials; transcript/Q&A; segment/geography split; CIQ market data refresh; latest sell-side debate notes if available
Wave 1 - AI infrastructure spine,AVGO,Broadcom,NASDAQ,United States,North America,fabless_compute,Compute / AI / Logic Chips,Central to custom silicon and networking value pools.,"Custom ASIC scale, VMware deleveraging, networking cycle, customer concentration","Datacenter revenue, accelerator ASP, HBM/CoWoS allocation, software/networking attach, cloud capex, product cadence, gross margin by platform.","Hyperscaler capex revisions, AI server lead times, HBM supply contracts, TSMC advanced-node mix, ODM backlog, accelerator benchmark adoption.","AI value-chain source packs, rack-level BOM bridge, bottleneck monitor and first-pass model drivers.",IR filings; last 8 quarters earnings materials; transcript/Q&A; segment/geography split; CIQ market data refresh; latest sell-side debate notes if available
